id,tweet_id,text,tag,date,partition
0,301957856138235904,следователи по урфо задержали челябинца причастного к бойне на торнадо #chelyabinsk <URL> ,Not related,Thu Feb 14 07:35:37 +0000 2013,train
1,302270059118735360,метеорит летит навстречу машине в #челябинск #chely <URL> с помощью <USR> ,Related and informative,Fri Feb 15 04:16:12 +0000 2013,train
2,302275532710617089,в челябинске живут суровые люди . во время снегопада у них вместо снежинок падают метеориты #челябинск ,Related - but not informative,Fri Feb 15 04:37:57 +0000 2013,train
3,302281039806607360,"breaking : explosions over russia ’ s urals region , reportedly a meteor shower , sparked panic in three major cities <URL> . . . ",Related and informative,Fri Feb 15 04:59:50 +0000 2013,train
4,302283136987979777,в челябинске живут суровые люди . во время снегопада у них вместо снежинок падают метеориты #челябинск ,Related - but not informative,Fri Feb 15 05:08:10 +0000 2013,train
5,302288140771684352,в челябинске всё нормально ! берем интервью у очевидцев события ! #челябинск #метеорит #chelly <URL> ,Not related,Fri Feb 15 05:28:03 +0000 2013,train
6,302289520706060288,"есть сообщения о пострадавших . пишите пожалуйста , что происходит ! #екб #челябинск #метеорит ",Related - but not informative,Fri Feb 15 05:33:32 +0000 2013,train
7,302289621390344192,#челябинск <URL> ,Not applicable,Fri Feb 15 05:33:56 +0000 2013,train
8,302290653168168961,"let ' s see , pope quit , google was dumped , now a meteor shower in russia . when should we expect the locusts ? ",Related - but not informative,Fri Feb 15 05:38:02 +0000 2013,train
9,302292116988649473,breaking a footage meteorite hitting russia ( #chelyabinsk ) . <URL> ,Related and informative,Fri Feb 15 05:43:51 +0000 2013,train
10,302292687409790976,possible meteor shower reported in eastern russia <URL> ,Related - but not informative,Fri Feb 15 05:46:07 +0000 2013,train
11,302293593362690048,"dear <USR> , take care with de rainy #метеорит in russia , or save me a piece . ✌ ",Related - but not informative,Fri Feb 15 05:49:43 +0000 2013,train
12,302295145267748865,появилось качественное видео падения объекта : <URL> #челябинск #челябинскийметеорит ,Related - but not informative,Fri Feb 15 05:55:53 +0000 2013,train
13,302295405335556096,how long until we get a russian meteor parody account ? ,Not related,Fri Feb 15 05:56:55 +0000 2013,train
14,302295707312877568,жители челябинска уже начали разбирать суперспособности . #chelly #челябинск ,Not related,Fri Feb 15 05:58:07 +0000 2013,train
15,302296273522941952,"this is remarkable rt <USR> : video : meteor crashes in russia : <URL> ( via <USR> , russia ' s state - . . . ",Related and informative,Fri Feb 15 06:00:22 +0000 2013,train
16,302296353223102464,жители челябинска уже начали разбирать суперспособности . #chelly #челябинск ,Related - but not informative,Fri Feb 15 06:00:41 +0000 2013,train
17,302296520991047680,пиздец . где же был брюс уиллис ? #метеорит ,Not related,Fri Feb 15 06:01:21 +0000 2013,train
18,302296604898119680,meteorite crash in #russia : a missile salvo blew the #meteorite into pieces at an altitude of 20 km : <URL> ,Related and informative,Fri Feb 15 06:01:41 +0000 2013,train
19,302297007538708481,rt <USR> : breaking : urals #meteorite shot down by russian air defense - military source <URL> #russia ,Related and informative,Fri Feb 15 06:03:17 +0000 2013,train
20,302297204675186688,rumors out of russia that meteor shot down by anti ballistic missile system . meh ,Not related,Fri Feb 15 06:04:04 +0000 2013,train
21,302297636671733762,wow ! #meteor over russia - <URL> and <URL> for the sonic boom . ,Related - but not informative,Fri Feb 15 06:05:47 +0000 2013,train
22,302298035164151808,суровым сталеварам прилетел #метеорит ,Related - but not informative,Fri Feb 15 06:07:22 +0000 2013,train
23,302298156798967808,#челябинск после метиоритного дождя <URL> ,Related and informative,Fri Feb 15 06:07:51 +0000 2013,train
24,302298601395216384,possibly ? rt : <USR> a piece of an asteroid hit the zinc plant #chelly <URL> #russia #meteor #urals ,Related - but not informative,Fri Feb 15 06:09:37 +0000 2013,train
25,302298655904387072,mt <USR> : office buildings in #russia ' s chelyabinsk are being evacuated as meteorite shower hits <URL> #chelyabinsk ,Related and informative,Fri Feb 15 06:09:50 +0000 2013,train
26,302298836267843584,#chelly #челябинск #метеорит <URL> ,Not applicable,Fri Feb 15 06:10:33 +0000 2013,train
27,302300258136891392,"spectacular meteor shower shatters windows , causes injuries in russia ' s ural mountains , officials say - <USR> h . . . ",Related and informative,Fri Feb 15 06:16:12 +0000 2013,train
28,302300463657791488,суровый град прошел в #chelyabinsk #метеорит #челябинск мужики и михалыч в шоке ! ,Related - but not informative,Fri Feb 15 06:17:01 +0000 2013,train
29,302300623011991552,#метеорит [ 15 / febrero / 2013 ] lluvia de meteoritos #rusia urals ~ <URL> ,Related - but not informative,Fri Feb 15 06:17:39 +0000 2013,train
30,302301294138388480,<URL> 2:30 - 3:30 - взрывом выбило ворота . #метеорит #meteorite blast wave hit warehouse door ,Related - but not informative,Fri Feb 15 06:20:19 +0000 2013,train
31,302301365407977472,scary ! rt <USR> : russian #meteor complete with a huge sonic boom <URL> ,Related and informative,Fri Feb 15 06:20:36 +0000 2013,train
32,302301688402964480,"meteor shower causes damage , injuries in russian urals <URL> ",Related and informative,Fri Feb 15 06:21:53 +0000 2013,train
33,302302112027652096,luke 21:11 great signs from heaven - - - - > <URL> #meteor ,Related - but not informative,Fri Feb 15 06:23:34 +0000 2013,train
34,302302128792272896,in het russische #chelyabinsk is een meteoriet naar beneden gekomen <URL> ,Related - but not informative,Fri Feb 15 06:23:38 +0000 2013,train
35,302302669861695488,"apocalypse now ? #meteorite shower hits #russia lighting sky , shattering windows <URL> <USR> ",Related and informative,Fri Feb 15 06:25:47 +0000 2013,train
36,302303248671457280,"мама , вызывай гибдд , меня комета убила #челябинск ",Related - but not informative,Fri Feb 15 06:28:05 +0000 2013,train
37,302303315771916289,possible meteor shower reported in eastern russia <URL> ,Related and informative,Fri Feb 15 06:28:21 +0000 2013,train
38,302304125285183488,"russian meteor fell to earth , slid hundreds of feet , clearly showboating while the canadian meteor would ' ve immediately hu . . . ",Related and informative,Fri Feb 15 06:31:34 +0000 2013,train
39,302304158814453761,#метеорит chelyabinsk <URL> ,Related - but not informative,Fri Feb 15 06:31:42 +0000 2013,train
40,302304607617552385,медведев выступил с предложением переименовать #челябинск в метеоритск ! ! ! вы за ? ,Related - but not informative,Fri Feb 15 06:33:29 +0000 2013,train
41,302305438106546176,"wow ! video : explosions in the skies of russia ' s urals region , reportedly caused by a meteor shower - <USR> youtube htt . . . ",Related and informative,Fri Feb 15 06:36:47 +0000 2013,train
42,302305492598927360,<USR> meteor hits russia . <URL> ,Related and informative,Fri Feb 15 06:37:00 +0000 2013,train
43,302306100777193473,"“ <USR> : wow , video of a meteor coming down in russia , i hope we are being told the truth about coming near miss : https://t.co/nqsksewl” ",Related and informative,Fri Feb 15 06:39:25 +0000 2013,train
44,302307359097757696,it turns out the greatest use of the russian dashboard cam is to witness a shit - yourself meteor near - miss . <URL> . . . ,Related - but not informative,Fri Feb 15 06:44:25 +0000 2013,train
45,302307442950291456,"it would really suck to find out that russia has a working anti - meteor weapon and we don ' t , but i bet we don ' t . budgets and all that . ",Not related,Fri Feb 15 06:44:45 +0000 2013,train
46,302307812053245954,"верим , бог есть . а главное вера . цените родных и близких и вообще цените всех . молимся ! #челябинск ",Not related,Fri Feb 15 06:46:13 +0000 2013,train
47,302307946275147777,"meteor shower in central russia could be seen for hundreds of kilometres , reports say <URL> ",Related and informative,Fri Feb 15 06:46:45 +0000 2013,train
48,302308101481193472,alert meteor shower reported in eastern russia : <URL> via <USR> rt ! ! ! ! ,Related and informative,Fri Feb 15 06:47:22 +0000 2013,train
49,302308348924157952,<USR> <USR> while you have been obsessed with a cruise ship ( no injuries or deaths ) there ' s been a meteor over russia . possibly #breaking ? ,Related - but not informative,Fri Feb 15 06:48:21 +0000 2013,train
50,302308558660317184,central russia hit by meteor shower : a meteor shower in central russia causes injuries and shatters windows as b . . . <URL> ,Related and informative,Fri Feb 15 06:49:11 +0000 2013,train
51,302309082948333568,заебись жить в #chelly - теперь мы в тренде и наконце - то избавимся от ёбаного дулина . новый имидж - #метеорит . ,Related - but not informative,Fri Feb 15 06:51:16 +0000 2013,train
52,302309166809235456,это конец света доставленный почтой россии ! #chelly #челябинск ,Related - but not informative,Fri Feb 15 06:51:36 +0000 2013,train
53,302310978773741568,"бог , поправь прицел ! кидать #метеорит нужно было на кремль . ",Related - but not informative,Fri Feb 15 06:58:48 +0000 2013,train
54,302310991365025792,"spectacular #meteor shower shatters windows and causes injuries in russia ' s ural mountains , officials say ",Related and informative,Fri Feb 15 06:58:51 +0000 2013,train
55,302311750529871872,"болид , снятый на видеорегистратор https://t.co/vhzn4fo4 #болид #метеорит #видеорегистратор ",Not related,Fri Feb 15 07:01:52 +0000 2013,train
56,302312102838796288,"i hear , that you and your band , are throwing out your guitars , and buying the russian meteor ",Related - but not informative,Fri Feb 15 07:03:16 +0000 2013,train
57,302312266399883265,"video : explosions in the skies of russia ' s urals region , reportedly caused by a meteor shower - <USR> youtube http :/ . . . ",Related and informative,Fri Feb 15 07:03:55 +0000 2013,train
58,302312513872211969,<URL> #russianmeteor buster exactly why do we keep testing my love for we stop pissing every friggen where ,Not related,Fri Feb 15 07:04:54 +0000 2013,train
59,302312727785922560,#метеорит chelyabinsk #russianmeteor мы в трендах хд <URL> ,Not related,Fri Feb 15 07:05:45 +0000 2013,train
60,302313163989323776,meteor shower causes damage in urals : russian agencies - channel newsasia : <URL> ,Related and informative,Fri Feb 15 07:07:29 +0000 2013,train
61,302313281425637376,"<USR> thanks for clarifying ! still , pretty significant explosion , mid - air or not ! #russianmeteor ",Related - but not informative,Fri Feb 15 07:07:57 +0000 2013,train
62,302313898005123072,шуточка номер 2 : какой суровый челябинский романтик пообещал своей любимой звезду с неба на 14 февраля ? #метеорит ,Related - but not informative,Fri Feb 15 07:10:24 +0000 2013,train
63,302314145477439489,"давай к нам , ростов ждет ) ) ) #метеорит #челябинск #chelly rt <USR> : сегодня я упал . ",Not related,Fri Feb 15 07:11:23 +0000 2013,train
64,302314187399516162,"да уж , точно : d #метеорит <URL> ",Related - but not informative,Fri Feb 15 07:11:33 +0000 2013,train
65,302314367762984961,<USR> это самая унылая шутка по хештегу #челябинск #метеорит ,Not related,Fri Feb 15 07:12:16 +0000 2013,train
66,302314950775431168,"#chelyabinsk , отправляй #метеорит обратно в космос ! ! ! но с любовью . . . ",Related - but not informative,Fri Feb 15 07:14:35 +0000 2013,train
67,302315600875769856,"video : explosions in the skies of russia ' s urals region , reportedly caused by a meteor shower - <USR> youtube http :/ . . . ",Related and informative,Fri Feb 15 07:17:10 +0000 2013,train
68,302315718316269568,да похоже видеорегистраторы станут главными сми скоро #челябинск #метеорит ,Related - but not informative,Fri Feb 15 07:17:38 +0000 2013,train
69,302316003528945664,site collecting all #russianmeteor videos in one place : <URL> via <USR> ,Related and informative,Fri Feb 15 07:18:46 +0000 2013,train
70,302316754317754368,"да уж , точно : d #метеорит <URL> ",Related - but not informative,Fri Feb 15 07:21:45 +0000 2013,train
71,302317333119127552,what if the russian meteor was a false flag illuminati freemason reptilian newtown sandy hook holmes dorner 9 / 11 google r . . . ,Related - but not informative,Fri Feb 15 07:24:03 +0000 2013,train
72,302317345702035457,more than 100 injured by meteor in russia <URL> ,Related and informative,Fri Feb 15 07:24:06 +0000 2013,train
73,302317643535360002,meteor crashed in russia . 100 injured . this is what happened when harry stamper is in moscow doing a john mcclane instead . . . ,Related - but not informative,Fri Feb 15 07:25:17 +0000 2013,train
74,302317958074609664,"rt : “ <USR> : apocalypse now ? #meteorite shower hits #russia lighting sky , shattering windows | <URL> . . . ",Related - but not informative,Fri Feb 15 07:26:32 +0000 2013,train
75,302318318809931776,"<URL> meteor streaks over russia , explodes ( photos ) <URL> ",Related - but not informative,Fri Feb 15 07:27:58 +0000 2013,train
76,302318411076235265,"да уж , точно : d #метеорит <URL> ",Not applicable,Fri Feb 15 07:28:20 +0000 2013,train
77,302318436250427392,this #russianmeteor shower looks like a well coordinated troll ,Not related,Fri Feb 15 07:28:26 +0000 2013,train
78,302318809551884288,that russian meteor footage is a nice reminder that we ' re flying through the universe in an organic spaceship with no roof . ,Related - but not informative,Fri Feb 15 07:29:55 +0000 2013,train
79,302319560332308480,"update : up to 150 minor injuries , services disrupted after meteorite shower over #russia <URL> #russianmeteor . . . ",Related and informative,Fri Feb 15 07:32:54 +0000 2013,train
80,302319623209103360,блядь #метеорит отпусти меня поработать пожалуйста ,Not related,Fri Feb 15 07:33:09 +0000 2013,train
81,302319937798668288,it turns out the greatest use of the russian dashboard cam is to witness a shit - yourself meteor near - miss . <URL> . . . ,Not related,Fri Feb 15 07:34:24 +0000 2013,train
82,302320357220679680,dobro jutro rt <USR> rt <USR> : breaking : meteor blasts rock russia <URL> ,Related and informative,Fri Feb 15 07:36:04 +0000 2013,train
83,302321187718057986,[ vidéo ] météorites en russie sur l ’ oural : des dizaines de personnes blessées et de nombreux dégâts <URL> #meteorite ,Related and informative,Fri Feb 15 07:39:22 +0000 2013,train
84,302321598751469568,"wow , russian meteor , you are badass . ",Related - but not informative,Fri Feb 15 07:41:00 +0000 2013,train
85,302321711997669376,re : #russianmeteor rt <USR> some 150 injured in chelyabinsk region following meteor shower - interior ministry http : . . . ,Related and informative,Fri Feb 15 07:41:27 +0000 2013,train
86,302321728762294272,"spectacular meteor shower shatters windows , causes injuries in russia ' s ural mountains , officials say - <USR> h . . . ",Related and informative,Fri Feb 15 07:41:31 +0000 2013,train
87,302321821024399361,meteor crash reportedly injured over 100 people in russia <URL> par techcrunch fr ,Related and informative,Fri Feb 15 07:41:53 +0000 2013,train
88,302322269819109376,that russian meteor footage is a nice reminder that we ' re flying through the universe in an organic spaceship with no roof . ,Related and informative,Fri Feb 15 07:43:40 +0000 2013,train
89,302322404049444864,meteor jatuh di russia . mesti ada superman dalam meteor tu ,Related - but not informative,Fri Feb 15 07:44:12 +0000 2013,train
90,302322429202685952,<URL> - incredible meteor strike caught on video : russia ( video collection ) <URL> <USR> ,Related - but not informative,Fri Feb 15 07:44:18 +0000 2013,train
91,302322924155703296,a big meteor hit earth in russia . . . #crazy ,Related - but not informative,Fri Feb 15 07:46:16 +0000 2013,train
